#Threads,Counter,Tree,Dissemination,Tournament,MCS,OMP Built-in
2,0.443988,0.368704,0.380284,0.531156,0.987221,0.692505
3,0.490874,1.068867,0.817272,0.625923,0.73194,0.883292
4,0.66861,1.112901,0.965149,1.053803,1.238144,1.10375
5,0.849558,1.860921,1.472625,1.309435,1.226768,1.312577
6,1.016141,1.85679,1.613554,1.279604,1.491199,1.516074
7,1.350362,1.935509,1.774172,1.50046,1.468527,1.872416
8,1.409442,1.950879,1.86809,1.594001,1.818068,1.94345
9,1.722085,2.956333,2.676023,1.952896,1.959128,2.184627
10,1.812063,3.051467,2.707152,1.835068,2.250366,2.369716
11,1.979952,3.038711,2.859844,2.058494,2.357834,2.52125
12,2.16258,3.132812,3.046482,2.17787,2.512219,2.732784
13,2.248752,3.447297,2.89186,2.22978,2.640601,3.051534
14,2.315255,3.5789,2.882641,2.527793,2.783424,2.840324
15,2.287677,3.542615,2.720177,2.487241,2.901777,2.876079
16,2.337532,3.372742,2.959876,2.744029,3.294124,2.935895
17,2.331833,4.763751,3.526734,3.021109,3.040858,2.979151
18,2.493815,4.941395,3.322127,2.863736,3.595569,2.969978
19,2.41886,4.965944,3.433987,2.90956,3.787046,3.067886
20,2.415533,4.942326,3.278237,2.925104,3.875667,3.080044
21,2.465455,5.170023,3.401328,3.140779,3.86053,3.074557
22,2.647235,5.255724,3.40526,3.431175,4.086301,3.161236
23,2.477599,5.26418,3.346725,3.533137,4.165857,3.168142